MIP,130,365611,22.51
LP,38,48,23.04071284
MIP,38,370575,22.23
LP,354,60,24.64031231
MIP,354,281297,15.6
LP,445,43,19.34683679
MIP,445,161705,17.36
LP,353,40,17.94154839
MIP,353,287515,15.6
LP,418,42,19.65662334
MIP,418,249700,18.68
LP,421,51,22.84496103
MIP,421,250142,18.68
LP,315,47,20.18106837
MIP,315,390314,19
LP,180,44,18.74506678
MIP,180,397464,18.14
LP,267,45,25.52295568
MIP,267,298389,23.64
LP,146,48,19.84485208
MIP,146,404248,22.51
LP,264,43,24.04792121
MIP,264,308321,22.79
MIP,227,308648,22.05
LP,237,47,24.00437451
MIP,237,308653,22.05
LP,162,55,27.71268298
MIP,162,424840,21.59
LP,233,134,24.68034736
MIP,233,313303,22.05
LP,339,44,20.21787926
MIP,339,319660,18.54
LP,164,44,22.37095186
MIP,164,430362,21.59
LP,192,128,21.11139982
MIP,192,427984,18.13
LP,370,43,23.16390711
MIP,370,322670,21.4
LP,131,72,24.45979698
MIP,131,431778,23.34
LP,17,53,21.04205898
LP,35,43,19.50382899
MIP,17,437468,23.34
MIP,35,443917,19.05
LP,66,51,17.8403972
MIP,66,434812,21.43
LP,12,54,21.72499156
MIP,12,437548,20.96
LP,60,46,20.92201196
MIP,60,440396,19.6
LP,55,58,19.35995687
MIP,55,449129,21.43
LP,44,56,23.39875082
MIP,44,454453,22.45
LP,148,47,22.37523747
MIP,148,458366,21.19
LP,18,55,23.22163923
MIP,18,459433,22.68
LP,205,45,24.17792105
MIP,205,472936,19.53
LP,176,49,22.7733602
MIP,176,476452,21.16
LP,210,45,20.42729088
MIP,210,478765,19.53
LP,230,68,21.5492843
MIP,230,379868,21.28
LP,311,43,20.26705388
MIP,311,486485,18.5
LP,42,129,25.05186011
MIP,42,486873,22.77
LP,165,63,25.65538778
MIP,165,501996,25.37
LP,14,48,22.54004856
MIP,14,491329,21.14
LP,110,42,17.8806207
MIP,110,490757,16.71
LP,81,50,23.66377493
MIP,81,490792,18.46
LP,90,59,22.24133931
MIP,90,498154,21.53
LP,417,55,22.59408206
MIP,417,366372,22.09
LP,466,56,23.57639703
MIP,466,99815,21.33
LP,474,49,23.6799827
MIP,474,104452,22.28
LP,62,62,17.991103
MIP,62,517786,21.01
LP,150,47,24.11349104
MIP,150,534758,23.35
LP,335,103,25.73012684
MIP,335,426411,24.72
LP,430,58,22.92846582
MIP,430,383142,22.47
LP,51,46,21.98918278
MIP,51,522688,21.01
LP,13,50,28.52614256
MIP,13,526994,22.77
LP,63,47,22.55658388
MIP,63,525612,21.01
LP,26,54,23.66739537
MIP,26,529065,22.77
LP,223,76,27.11035711
MIP,223,426263,18.94
LP,104,59,25.30475342
MIP,104,532786,24.3
LP,169,49,18.18198585
MIP,169,545164,17.16
LP,312,41,23.92464677
MIP,312,537784,18.09
LP,69,104,22.39246005
MIP,69,538180,21.01
LP,437,42,22.23631059
MIP,437,404700,20.96
LP,467,47,21.46865633
MIP,467,143561,19.52
LP,49,45,22.1846449
MIP,49,551879,21.78
LP,54,50,19.07190474
MIP,54,557547,18.22
LP,465,64,20.90964625
MIP,465,219938,19.12
LP,21,51,20.43161504
MIP,21,566786,19.63
LP,255,38,18.77352196
MIP,255,472359,18.1
LP,416,49,17.91219416
MIP,416,429490,16.32
LP,85,51,23.59374137
MIP,85,566078,22.99
LP,199,51,22.17839236
MIP,199,575422,19.82
LP,27,49,25.25703233
MIP,27,570680,19.63
LP,33,47,20.28055612
MIP,33,577791,19.36
LP,225,50,24.76865845
MIP,225,490945,18.94
LP,224,39,20.3263504
MIP,224,503177,18.94
LP,36,51,20.10937743
MIP,36,608647,19.37
LP,435,56,22.74916527
MIP,435,476811,22.13
LP,58,52,23.46463221
MIP,58,620619,22.61
LP,159,85,21.65700281
MIP,159,635270,20.53
LP,432,47,25.18128637
MIP,432,484338,24.07
LP,503,50,21.80501039
MIP,503,98092,20.6
LP,419,53,21.41089094
MIP,419,489826,20.53
LP,73,50,23.20481264
MIP,73,631179,22.73
LP,109,57,25.73596732
MIP,109,633069,22.73
LP,72,47,22.1450111
MIP,72,640161,21.03
LP,521,39,18.14969651
MIP,521,67611,19.95
LP,184,49,23.88179943
MIP,184,665047,23.29
LP,508,53,23.53096588
MIP,508,141837,21.74
LP,469,49,19.47956146
MIP,469,269123,18.66
LP,262,41,23.40334742
MIP,262,569483,21.35
LP,181,44,19.90205542
MIP,181,679934,19.37
LP,506,167,14.68377423
MIP,506,152380,13.8
LP,322,43,18.16071235
MIP,322,689088,17.1
LP,174,43,21.63732768
MIP,174,705984,20.77
LP,117,56,18.25634631
MIP,117,698490,17.68
LP,434,41,20.00032218
MIP,434,566292,19.02
LP,168,86,23.95822178
MIP,168,721463,23.55
LP,359,47,21.47575949
MIP,359,616231,17.9
LP,457,49,18.30951811
MIP,457,427689,17.41
LP,478,41,18.62952913
MIP,478,315096,16.77
LP,365,43,24.2607999
MIP,365,620869,17.9
